x,y,z
2092,2279,1960
2112,2286,2002
2143,2373,2000
2176,2346,2002
2053,2279,2062
2274,2424,1944
2117,2183,2107
2131,2476,1990
2076,2339,1945
2115,2311,1942
1979,2430,1943
2107,2506,1852
2148,2366,1979
2050,2320,1910
2033,2394,1986
2133,2381,1935
2110,2343,1943
2132,2196,2021
2090,2329,2127
2059,2360,2217
2029,2243,2032
1880,2312,2130
1895,2259,2209
1911,2225,2248
1777,2402,2269
1744,2405,2218
1681,2471,2331
1822,2426,2282
1956,2470,2211
2005,2381,2140
1986,2407,2131
2007,2339,2141
1973,2359,2219
1828,2355,2293
1872,2318,2344
1999,2335,2249
1956,2386,2131
1887,2375,2121
1883,2373,2102
1902,2327,2195
2009,2267,2300
1948,2323,2300
1914,2361,2231
1982,2391,2129
2009,2393,2071
1935,2361,2119
1899,2298,2303
1963,2323,2372
1965,2389,2240
1915,2395,2176
1980,2324,2067
2018,2514,2027
1857,2298,2152
2009,2306,2345
1961,2316,2328
2000,2362,2103
2062,2369,1995
2054,2342,2096
2118,2305,2204
1834,2340,2249
1889,2336,2242
1987,2311,2222
1834,2352,2215
1915,2313,2149
2051,2295,2207
2081,2309,2270
2021,2343,2287
1974,2378,2194
1999,2441,2067
1912,2447,1983
1802,2404,2038
1980,2308,2216
2067,2254,2386
1966,2289,2343
1939,2369,2160
1992,2381,2143
2007,2364,2207
2014,2395,2198
1988,2411,2152
1957,2381,2254
1808,2379,2281
1846,2275,2206
1959,2274,2197
2019,2283,2167
2074,2197,2157
2071,2411,2206
2003,2349,2169
1938,2351,2166
1897,2347,2167
1909,2349,2189
1916,2350,2209
1927,2352,2216
1930,2369,2208
1940,2354,2177
1962,2337,2170
1947,2348,2185
1937,2347,2196
1924,2344,2197
1920,2314,2198
1929,2297,2207
1949,2294,2220
1968,2264,2219
1983,2298,2219
2000,2387,2210
2036,2522,2172
2054,2552,1990
2070,2459,2014
1979,2357,2070
1990,2377,2096
1991,2386,2055
1954,2381,2034
1965,2413,2065
1981,2373,2051
1999,2398,2041
2005,2419,2041
2011,2359,2028
1962,2370,2044
1984,2376,2068
2091,2305,2031
2111,2413,2097
1875,2301,2079
1808,2343,2055
1842,2340,1978
1968,2343,1958
1976,2363,1960
1961,2365,1969
1977,2364,1991
1981,2355,2007
1982,2390,2011
1982,2413,2013
1979,2405,2031
2009,2377,2045
1989,2365,2038
1977,2434,2033
1984,2399,2035
1984,2409,2040
1985,2399,2048
1987,2382,2062
1977,2390,2071
1973,2387,2059
1986,2396,2057
1974,2427,2053
1974,2415,2036
1942,2409,2039
1934,2386,2054
1959,2396,2048
1950,2406,2034
1954,2416,2030
1956,2410,2027
1961,2403,2038
1951,2401,2049
1969,2384,2054
1943,2381,2055
1922,2409,2049
1912,2383,2037
1923,2405,2048
2034,2374,2059
1939,2387,2062
1935,2392,2046
1915,2348,2058
1915,2349,2060
1900,2344,2059
1922,2373,2071
1937,2390,2066
1938,2374,2056
1936,2372,2046
1905,2379,2050
1960,2431,2065
1963,2402,2062
1984,2430,2061
1983,2455,2060
1939,2357,2034
1923,2373,2039
1959,2474,2070
1953,2427,2069
1894,2323,2043
1949,2368,2061
1952,2378,2046
1989,2409,2037
1978,2374,2029
1859,2302,2018
1906,2387,2082
1943,2415,2078
1929,2413,2064
1964,2449,2055
1981,2411,2039
1888,2353,2019
1892,2405,2059
1938,2388,2056
1941,2356,2032
1935,2373,2023
1924,2386,2022
1930,2380,2040
1937,2384,2042
1950,2377,2041
1969,2388,2048
1979,2397,2044
1979,2397,2043
1970,2385,2033
1938,2377,2029
1927,2389,2050
1935,2395,2074
1929,2350,2100
1924,2347,2116
1938,2377,2129
1959,2391,2147
1984,2374,2142
1981,2372,2125
1967,2386,2123
1969,2386,2142
1973,2381,2164
1977,2393,2155
1967,2386,2133
1953,2370,2126
1957,2377,2144
1949,2372,2154
1973,2379,2156
1981,2375,2149
1962,2366,2143
1940,2368,2151
1936,2371,2153
1939,2379,2154
1943,2379,2154
1942,2363,2157
1943,2343,2145
1959,2357,2162
1963,2366,2167
1973,2373,2171
1975,2380,2169
1972,2375,2163
1987,2373,2154
1970,2372,2146
1973,2373,2142
1957,2379,2139
1958,2370,2143
1953,2359,2130
1946,2344,2123
1946,2346,2103
1948,2370,2113
1939,2384,2131
1945,2382,2139
1952,2382,2140
1951,2372,2131
1963,2372,2131
1970,2369,2131
1966,2373,2128
1983,2371,2126
1984,2383,2121
1965,2375,2108
1940,2372,2106
1932,2371,2107
1937,2375,2118
1942,2375,2135
1944,2374,2134
1947,2381,2136
1953,2386,2143
1971,2383,2144
1966,2379,2134
1956,2370,2125
1961,2367,2131
1958,2383,2138
1961,2380,2146
1960,2377,2141
1955,2373,2125
1964,2375,2127
1964,2383,2131
1962,2379,2131
1961,2374,2122
1959,2375,2123
1959,2383,2124
1969,2394,2131
1963,2391,2132
1961,2377,2123
1955,2371,2115
1958,2357,2111
1967,2366,2115
1967,2369,2118
1963,2367,2114
1968,2361,2111
1967,2363,2104
1962,2363,2109
1958,2367,2109
1965,2374,2109
1960,2383,2114
1952,2383,2119
1962,2376,2118
1959,2374,2124
1962,2374,2125
1961,2380,2127
1953,2386,2135
1953,2381,2137
1965,2380,2127
1962,2372,2131
1961,2374,2131
1960,2372,2125
1957,2375,2129
1958,2372,2129
1963,2372,2130
1961,2370,2126
1958,2371,2127
1958,2373,2131
1958,2374,2135
1966,2374,2133
1960,2371,2129
1962,2374,2134
1961,2376,2130
1967,2375,2134
1968,2373,2130
1960,2369,2129
1962,2371,2128
1964,2379,2132
1964,2375,2127
1967,2377,2125
1968,2373,2130
1965,2371,2126
1967,2378,2129
1968,2371,2131
1968,2376,2127
1967,2375,2128
